tweet_id,arg_id,message
59,59-1,0
59,59-2,0
59,59-3,0
59,59-4,0
59,59-5,0
59,59-6,0
60,60-0,0
61,61-0,1
61,61-1,0
62,62-0,0
63,63-0,0
64,64-0,0
64,64-1,0
65,65-0,0
66,66-0,0
66,66-1,0
66,66-2,0
66,66-3,0
66,66-4,0
66,66-5,0
66,66-6,0
66,66-7,0
67,67-0,1
67,67-1,0
68,68-0,0
68,68-1,0
68,68-2,0
68,68-3,0
69,69-0,0
70,70-0,0
71,71-0,0
71,71-1,0
72,72-0,1
72,72-1,0
72,72-2,0
72,72-3,0
72,72-4,0
73,73-0,0
74,74-0,0
74,74-1,0
74,74-2,0
74,74-3,0
74,74-4,0
74,74-5,0
74,74-6,0
74,74-7,0
74,74-8,0
74,74-9,0
74,74-10,0
74,74-11,0
74,74-12,0
75,75-0,0
75,75-1,0
75,75-2,0
76,76-0,0
76,76-1,0
77,77-0,0
78,78-0,0
78,78-1,0
78,78-2,0
79,79-0,0
79,79-1,0
80,80-0,0
80,80-1,0
80,80-2,0
80,80-3,0
80,80-4,0
80,80-5,0
81,81-0,1
81,81-1,0
81,81-2,0
82,82-0,0
82,82-1,1
82,82-2,0
82,82-3,0
82,82-4,0
82,82-5,0
83,83-0,0
84,84-0,0
85,85-0,0
86,86-0,0
86,86-1,0
87,87-0,0
87,87-1,1
87,87-2,0
88,88-0,0
88,88-1,0
88,88-2,0
88,88-3,0
89,89-0,1
90,90-0,0
90,90-1,0
91,91-0,1
91,91-1,0
91,91-2,0
92,92-0,0
92,92-1,1
93,93-0,1
93,93-1,0
93,93-2,0
93,93-3,0
94,94-0,0
95,95-0,0
96,96-0,0
97,97-0,0
97,97-1,0
97,97-2,0
97,97-3,0
97,97-4,0
98,98-0,1
98,98-1,0
98,98-2,0
99,99-0,0
99,99-1,0
99,99-2,0
99,99-3,0
99,99-4,0
99,99-5,0
99,99-6,0
99,99-7,0
99,99-8,0
99,99-9,0
100,100-0,0
101,101-0,0
101,101-1,0
102,102-0,0
102,102-1,0
102,102-2,1
102,102-3,0
102,102-4,0
102,102-5,0
103,103-0,0
104,104-0,0
104,104-1,0
104,104-2,0
105,105-0,1
105,105-1,0
106,106-0,0
106,106-1,0
107,107-0,0
108,108-0,0
109,109-0,0
109,109-1,1
110,110-0,0
111,111-0,0
111,111-1,0
112,112-0,0
112,112-1,0
112,112-2,0
112,112-3,0
112,112-4,0
112,112-5,0
112,112-6,0
112,112-7,0
112,112-8,0
112,112-9,0
112,112-10,0
112,112-11,0
112,112-12,0
113,113-0,1
113,113-1,0
114,114-0,0
114,114-1,0
114,114-2,1
114,114-3,0
115,115-0,1
116,116-0,1
116,116-1,0
116,116-2,0
117,117-0,0
117,117-1,0
117,117-2,0
117,117-3,1
118,118-0,1
118,118-1,0
119,119-0,0
119,119-1,0
120,120-0,1
120,120-1,0
120,120-2,0
120,120-3,0
120,120-4,0
121,121-0,1
122,122-0,0
122,122-1,0
122,122-2,0
123,123-0,0
123,123-1,0
123,123-2,0
123,123-3,1
123,123-4,0
124,124-0,1
124,124-1,0
124,124-2,0
125,125-0,0
125,125-1,0
125,125-2,0
126,126-0,1
126,126-1,0
126,126-2,0
126,126-3,0
127,127-0,1
128,128-0,0
128,128-1,0
129,129-0,0
129,129-1,0
130,130-0,0
130,130-1,0
130,130-2,0
130,130-3,0
130,130-4,0
130,130-5,0
130,130-6,0
130,130-7,0
131,131-0,0
131,131-1,0
131,131-2,0
132,132-0,0
132,132-1,0
132,132-2,0
133,133-0,0
133,133-1,0
133,133-2,0
133,133-3,0
134,134-0,0
134,134-1,0
134,134-2,0
134,134-3,0
134,134-4,0
135,135-0,0
135,135-1,0
136,136-0,0
136,136-1,0
136,136-2,0
136,136-3,0
136,136-4,1
136,136-5,0
136,136-6,0
137,137-0,0
137,137-1,0
137,137-2,0
137,137-3,0
137,137-4,0
137,137-5,0
137,137-6,0
137,137-7,0
137,137-8,0
138,138-0,0
138,138-1,0
138,138-2,0
138,138-3,0
138,138-4,0
139,139-0,0
140,140-0,0
140,140-1,0
141,141-0,0
141,141-1,0
141,141-2,0
141,141-3,0
142,142-0,0
142,142-1,0
143,143-0,1
143,143-1,0
144,144-0,0
144,144-1,0
145,145-0,0
145,145-1,0
146,146-0,0
146,146-1,0
147,147-0,0
147,147-1,1
147,147-2,0
147,147-3,0
147,147-4,0
148,148-0,0
148,148-1,0
148,148-2,0
148,148-3,0
148,148-4,0
148,148-5,1
148,148-6,0
148,148-7,0
148,148-8,0
148,148-9,0
149,149-0,1
149,149-1,0
149,149-2,0
149,149-3,0
149,149-4,0
149,149-5,0
150,150-0,1
150,150-1,0
150,150-2,0
150,150-3,0
151,151-0,0
151,151-1,0
151,151-2,0
152,152-0,0
153,153-0,0
154,154-0,0
155,155-0,0
156,156-0,0
157,157-0,1
158,158-0,0
158,158-1,0
158,158-2,0
159,159-0,0
160,160-0,0
160,160-1,0
160,160-2,0
160,160-3,0
160,160-4,0
160,160-5,0
160,160-6,0
160,160-7,0
160,160-8,0
160,160-9,0
160,160-10,0
161,161-0,0
161,161-1,0
161,161-2,0
161,161-3,0
162,162-0,0
162,162-1,1
162,162-2,0
162,162-3,0
162,162-4,0
162,162-5,0
163,163-0,0
163,163-1,0
163,163-2,0
164,164-0,0
165,165-0,0
165,165-1,1
165,165-2,0
165,165-3,0
165,165-4,0
166,166-0,0
166,166-1,0
166,166-2,0
167,167-0,1
167,167-1,0
168,168-0,0
168,168-1,1
168,168-2,0
168,168-3,0
169,169-0,0
169,169-1,0
169,169-2,0
170,170-0,0
170,170-1,0
170,170-2,0
171,171-0,0
171,171-1,0
172,172-0,0
173,173-0,0
173,173-1,0
173,173-2,1
173,173-3,0
173,173-4,0
174,174-0,0
175,175-0,1
175,175-1,0
175,175-2,0
175,175-3,0
175,175-4,0
175,175-5,0
176,176-0,1
176,176-1,0
176,176-2,0
177,177-0,0
177,177-1,0
177,177-2,1
178,178-0,0
179,179-0,0
179,179-1,0
180,180-0,0
180,180-1,0
181,181-0,1
181,181-1,0
181,181-2,0
181,181-3,0
182,182-0,0
182,182-1,0
182,182-2,0
182,182-3,0
182,182-4,0
182,182-5,0
183,183-0,1
183,183-1,0
184,184-0,0
185,185-0,1
185,185-1,0
186,186-0,0
186,186-1,0
186,186-2,1
187,187-0,0
187,187-1,0
187,187-2,0
188,188-0,0
188,188-1,0
188,188-2,0
189,189-0,0
190,190-0,0
190,190-1,0
191,191-0,0
191,191-1,0
191,191-2,0
192,192-0,0
192,192-1,0
192,192-2,0
192,192-3,0
193,193-0,0
193,193-1,0
194,194-0,0
194,194-1,0
195,195-0,1
195,195-1,0
195,195-2,0
195,195-3,0
195,195-4,0
195,195-5,0
195,195-6,0
195,195-7,0
195,195-8,0
196,196-0,0
197,197-0,0
197,197-1,0
197,197-2,0
198,198-0,0
198,198-1,0
198,198-2,0
198,198-3,0
198,198-4,0
198,198-5,1
198,198-6,0
199,199-0,0
200,200-0,0
200,200-1,1
200,200-2,0
200,200-3,0
200,200-4,0
201,201-0,0
201,201-1,0
201,201-2,1
201,201-3,0
201,201-4,0
201,201-5,0
201,201-6,0
201,201-7,0
201,201-8,0
202,202-0,0
203,203-0,0
203,203-1,0
204,204-0,0
204,204-1,1
204,204-2,0
205,205-0,1
205,205-1,0
206,206-0,0
206,206-1,1
206,206-2,0
206,206-3,0
206,206-4,0
206,206-5,0
206,206-6,0
206,206-7,0
207,207-0,0
207,207-1,0
207,207-2,0
208,208-0,0
208,208-1,0
209,209-0,0
209,209-1,0
209,209-2,1
209,209-3,0
209,209-4,0
209,209-5,0
209,209-6,0
210,210-0,1
210,210-1,0
211,211-0,1
211,211-1,0
212,212-0,0
212,212-1,0
213,213-0,0
214,214-0,0
214,214-1,0
214,214-2,0
215,215-0,0
215,215-1,0
216,216-0,0
217,217-0,0
217,217-1,0
217,217-2,0
217,217-3,0
217,217-4,0
218,218-0,0
218,218-1,0
218,218-2,0
218,218-3,0
218,218-4,0
218,218-5,1
218,218-6,0
218,218-7,0
218,218-8,0
218,218-9,0
218,218-10,0
218,218-11,0
218,218-12,0
219,219-0,1
219,219-1,0
219,219-2,0
220,220-0,0
220,220-1,0
220,220-2,0
220,220-3,0
220,220-4,1
220,220-5,0
220,220-6,0
220,220-7,0
220,220-8,0
220,220-9,0
220,220-10,0
220,220-11,0
221,221-0,0
221,221-1,0
221,221-2,0
221,221-3,0
221,221-4,1
221,221-5,0
222,222-0,0
222,222-1,0
222,222-2,0
223,223-0,0
223,223-1,0
223,223-2,0
223,223-3,0
223,223-4,0
223,223-5,0
223,223-6,0
223,223-7,1
224,224-0,0
225,225-0,0
226,226-0,0
226,226-1,0
226,226-2,0
226,226-3,1
226,226-4,0
227,227-0,0
227,227-1,0
227,227-2,0
228,228-0,0
229,229-0,0
229,229-1,0
229,229-2,0
229,229-3,0
229,229-4,0
230,230-0,1
231,231-0,1
231,231-1,0
232,232-0,0
232,232-1,0
232,232-2,0
233,233-0,0
233,233-1,0
233,233-2,0
233,233-3,0
234,234-0,0
235,235-0,0
235,235-1,1
235,235-2,0
236,236-0,0
237,237-0,0
237,237-1,0
237,237-2,0
237,237-3,0
237,237-4,0
237,237-5,0
238,238-0,0
238,238-1,0
238,238-2,0
238,238-3,0
238,238-4,0
238,238-5,0
239,239-0,0
239,239-1,0
239,239-2,1
239,239-3,0
240,240-0,1
241,241-0,0
241,241-1,0
241,241-2,0
241,241-3,0
242,242-0,0
242,242-1,0
242,242-2,0
242,242-3,0
242,242-4,1
243,243-0,0
243,243-1,1
243,243-2,0
243,243-3,0
244,244-0,0
244,244-1,0
244,244-2,0
244,244-3,0
245,245-0,0
246,246-0,0
246,246-1,1
247,247-0,0
247,247-1,1
247,247-2,0
248,248-0,0
248,248-1,0
248,248-2,0
248,248-3,0
248,248-4,0
248,248-5,0
248,248-6,0
248,248-7,0
249,249-0,0
249,249-1,0
249,249-2,0
250,250-0,0
251,251-0,0
251,251-1,0
251,251-2,0
251,251-3,0
251,251-4,1
252,252-0,0
252,252-1,0
253,253-0,0
253,253-1,0
253,253-2,0
253,253-3,0
253,253-4,0
253,253-5,1
254,254-0,1
254,254-1,0
254,254-2,0
254,254-3,0
254,254-4,0
254,254-5,0
254,254-6,0
254,254-7,0
255,255-0,0
256,256-0,0
256,256-1,0
256,256-2,1
256,256-3,0
257,257-0,0
258,258-0,0
259,259-0,0
260,260-0,0
261,261-0,0
261,261-1,0
261,261-2,1
261,261-3,0
261,261-4,0
261,261-5,0
262,262-0,0
262,262-1,1
262,262-2,0
263,263-0,0
263,263-1,0
263,263-2,1
263,263-3,0
264,264-0,0
264,264-1,0
264,264-2,0
265,265-0,0
265,265-1,0
265,265-2,0
265,265-3,1
266,266-0,0
267,267-0,1
267,267-1,0
268,268-0,1
268,268-1,0
268,268-2,0
268,268-3,0
268,268-4,0
269,269-0,0
269,269-1,0
270,270-0,0
270,270-1,0
270,270-2,0
271,271-0,0
272,272-0,1
272,272-1,0
272,272-2,0
272,272-3,0
273,273-0,1
273,273-1,0
274,274-0,0
274,274-1,0
275,275-0,0
275,275-1,0
276,276-0,1
277,277-0,0
277,277-1,1
278,278-0,0
279,279-0,0
279,279-1,0
280,280-0,0
280,280-1,0
281,281-0,1
281,281-1,0
282,282-0,0
282,282-1,0
283,283-0,0
283,283-1,0
283,283-2,0
283,283-3,0
283,283-4,0
283,283-5,0
283,283-6,0
283,283-7,0
283,283-8,0
283,283-9,0
283,283-10,0
283,283-11,0
283,283-12,0
283,283-13,1
283,283-14,0
283,283-15,0
284,284-0,0
284,284-1,0
285,285-0,0
285,285-1,0
285,285-2,0
285,285-3,0
286,286-0,0
287,287-0,0
287,287-1,0
288,288-0,0
288,288-1,0
289,289-0,0
289,289-1,0
289,289-2,0
289,289-3,0
289,289-4,1
289,289-5,0
290,290-0,0
291,291-0,0
291,291-1,0
292,292-0,0
292,292-1,1
292,292-2,0
293,293-0,1
293,293-1,0
293,293-2,0
293,293-3,0
293,293-4,0
294,294-0,1
294,294-1,0
294,294-2,0
294,294-3,0
295,295-0,0
295,295-1,0
295,295-2,0
296,296-0,0
296,296-1,0
296,296-2,0
297,297-0,0
297,297-1,0
297,297-2,0
298,298-0,0
298,298-1,0
298,298-2,0
298,298-3,0
298,298-4,0
298,298-5,0
298,298-6,0
298,298-7,0
298,298-8,0
298,298-9,0
299,299-0,1
299,299-1,0
299,299-2,0
300,300-0,0
300,300-1,0
300,300-2,0
300,300-3,0
301,301-0,0
301,301-1,0
302,302-0,0
302,302-1,1
302,302-2,0
303,303-0,1
304,304-0,0
305,305-0,0
306,306-0,0
306,306-1,0
306,306-2,0
306,306-3,1
306,306-4,0
306,306-5,0
306,306-6,0
306,306-7,0
307,307-0,0
307,307-1,0
307,307-2,0
307,307-3,0
307,307-4,0
307,307-5,0
307,307-6,0
307,307-7,0
307,307-8,0
307,307-9,0
307,307-10,0
307,307-11,0
307,307-12,0
307,307-13,0
307,307-14,0
307,307-15,0
307,307-16,0
307,307-17,0
307,307-18,0
307,307-19,0
307,307-20,0
307,307-21,0
307,307-22,0
307,307-23,0
307,307-24,0
307,307-25,0
307,307-26,0
307,307-27,0
307,307-28,0
307,307-29,0
307,307-30,0
307,307-31,0
307,307-32,0
308,308-0,1
308,308-1,0
308,308-2,0
309,309-0,0
309,309-1,0
309,309-2,0
309,309-3,0
309,309-4,0
310,310-0,1
310,310-1,0
311,311-0,1
311,311-1,0
311,311-2,0
312,312-0,0
312,312-1,0
312,312-2,0
312,312-3,0
312,312-4,0
312,312-5,0
312,312-6,0
312,312-7,0
312,312-8,0
312,312-9,0
312,312-10,0
312,312-11,0
312,312-12,1
313,313-0,0
313,313-1,0
314,314-0,0
314,314-1,0
315,315-0,1
316,316-0,0
317,317-0,0
317,317-1,1
317,317-2,0
317,317-3,0
317,317-4,0
318,318-0,1
318,318-1,0
318,318-2,0
318,318-3,0
318,318-4,0
318,318-5,0
319,319-0,0
320,320-0,0
320,320-1,0
321,321-0,0
321,321-1,0
321,321-2,0
321,321-3,0
321,321-4,0
321,321-5,0
321,321-6,0
321,321-7,0
321,321-8,0
322,322-0,0
322,322-1,0
322,322-2,0
322,322-3,0
323,323-0,0
323,323-1,1
323,323-2,0
324,324-0,0
325,325-0,0
325,325-1,0
325,325-2,0
325,325-3,0
325,325-4,0
325,325-5,0
325,325-6,0
325,325-7,0
325,325-8,0
325,325-9,0
325,325-10,0
325,325-11,0
325,325-12,0
325,325-13,1
325,325-14,0
326,326-0,0
326,326-1,0
326,326-2,1
326,326-3,0
326,326-4,0
326,326-5,0
326,326-6,0
327,327-0,0
327,327-1,0
327,327-2,0
327,327-3,0
327,327-4,1
327,327-5,0
328,328-0,1
328,328-1,0
328,328-2,0
329,329-0,0
329,329-1,0
329,329-2,0
329,329-3,0
329,329-4,0
329,329-5,0
329,329-6,0
330,330-0,0
330,330-1,0
330,330-2,1
331,331-0,0
331,331-1,0
331,331-2,0
331,331-3,0
331,331-4,1
332,332-0,0
332,332-1,0
332,332-2,1
333,333-0,0
333,333-1,0
333,333-2,0
334,334-0,0
334,334-1,0
334,334-2,1
335,335-0,0
335,335-1,1
335,335-2,0
335,335-3,0
335,335-4,0
336,336-0,0
336,336-1,0
337,337-0,0
337,337-1,1
337,337-2,0
338,338-0,0
338,338-1,1
338,338-2,0
338,338-3,0
339,339-0,1
339,339-1,0
339,339-2,0
340,340-0,1
340,340-1,0
341,341-0,1
341,341-1,0
341,341-2,0
342,342-0,0
342,342-1,0
342,342-2,0
343,343-0,0
343,343-1,0
343,343-2,1
343,343-3,0
344,344-0,0
344,344-1,1
344,344-2,0
345,345-0,1
345,345-1,0
346,346-0,0
346,346-1,0
346,346-2,0
347,347-0,0
347,347-1,0
347,347-2,0
347,347-3,0
347,347-4,0
347,347-5,0
347,347-6,1
347,347-7,0
347,347-8,0
347,347-9,0
347,347-10,0
348,348-0,0
348,348-1,0
348,348-2,0
349,349-0,1
349,349-1,0
349,349-2,0
349,349-3,0
349,349-4,0
349,349-5,0
349,349-6,0
350,350-0,0
350,350-1,0
351,351-0,0
351,351-1,0
351,351-2,0
351,351-3,0
351,351-4,0
352,352-0,1
353,353-0,0
353,353-1,0
353,353-2,0
353,353-3,0
353,353-4,1
353,353-5,0
353,353-6,0
354,354-0,0
354,354-1,0
355,355-0,1
355,355-1,0
355,355-2,0
356,356-0,0
356,356-1,1
356,356-2,0
356,356-3,0
356,356-4,0
356,356-5,0
357,357-0,0
357,357-1,0
358,358-0,0
358,358-1,0
358,358-2,0
358,358-3,0
358,358-4,0
358,358-5,0
358,358-6,0
358,358-7,0
358,358-8,0
358,358-9,0
358,358-10,0
358,358-11,0
358,358-12,0
358,358-13,0
358,358-14,0
358,358-15,0
359,359-0,0
359,359-1,0
359,359-2,0
360,360-0,0
361,361-0,0
361,361-1,0
361,361-2,0
361,361-3,0
361,361-4,1
362,362-0,0
362,362-1,0
363,363-0,0
364,364-0,0
364,364-1,0
364,364-2,1
364,364-3,0
364,364-4,0
364,364-5,0
364,364-6,0
365,365-0,0
365,365-1,1
365,365-2,0
366,366-0,0
366,366-1,0
366,366-2,0
366,366-3,0
366,366-4,0
366,366-5,1
366,366-6,0
366,366-7,0
366,366-8,0
366,366-9,0
367,367-0,1
367,367-1,0
367,367-2,0
367,367-3,0
367,367-4,0
368,368-0,0
369,369-0,0
369,369-1,1
370,370-0,0
370,370-1,1
370,370-2,0
370,370-3,0
370,370-4,0
370,370-5,0
371,371-0,1
371,371-1,0
371,371-2,0
372,372-0,0
373,373-0,0
373,373-1,0
373,373-2,0
373,373-3,0
374,374-0,0
374,374-1,0
375,375-0,0
375,375-1,1
376,376-0,1
376,376-1,0
377,377-0,0
377,377-1,0
377,377-2,0
378,378-0,0
378,378-1,1
378,378-2,0
379,379-0,0
379,379-1,0
379,379-2,0
380,380-0,0
380,380-1,0
380,380-2,0
380,380-3,0
380,380-4,0
380,380-5,0
381,381-0,0
382,382-0,1
382,382-1,0
382,382-2,0
382,382-3,0
382,382-4,0
382,382-5,0
382,382-6,0
383,383-0,0
383,383-1,0
383,383-2,0
383,383-3,0
383,383-4,0
383,383-5,0
383,383-6,0
383,383-7,0
383,383-8,0
383,383-9,0
383,383-10,0
383,383-11,0
383,383-12,0
383,383-13,0
383,383-14,0
383,383-15,0
383,383-16,0
383,383-17,0
384,384-0,0
384,384-1,1
384,384-2,0
385,385-0,0
386,386-0,0
386,386-1,0
387,387-0,1
388,388-0,0
389,389-0,0
389,389-1,0
389,389-2,1
389,389-3,0
389,389-4,0
390,390-0,0
390,390-1,0
391,391-0,0
391,391-1,1
391,391-2,0
392,392-0,0
392,392-1,0
392,392-2,0
392,392-3,0
392,392-4,0
393,393-0,1
393,393-1,0
393,393-2,0
393,393-3,0
394,394-0,0
394,394-1,1
394,394-2,0
394,394-3,0
395,395-0,0
395,395-1,0
395,395-2,0
395,395-3,1
395,395-4,0
395,395-5,0
395,395-6,0
395,395-7,0
396,396-0,0
396,396-1,0
396,396-2,1
397,397-0,0
397,397-1,0
397,397-2,0
397,397-3,0
398,398-0,0
398,398-1,0
398,398-2,1
398,398-3,0
398,398-4,0
399,399-0,1
399,399-1,0
399,399-2,0
399,399-3,0
400,400-0,0
400,400-1,0
400,400-2,0
400,400-3,0
400,400-4,0
400,400-5,0
400,400-6,0
400,400-7,0
400,400-8,0
400,400-9,0
400,400-10,0
400,400-11,0
401,401-0,0
401,401-1,1
402,402-0,0
402,402-1,0
402,402-2,0
402,402-3,0
402,402-4,0
402,402-5,0
402,402-6,0
402,402-7,0
402,402-8,0
402,402-9,0
402,402-10,0
402,402-11,0
402,402-12,0
402,402-13,0
402,402-14,0
403,403-0,0
403,403-1,0
403,403-2,0
404,404-0,0
404,404-1,0
404,404-2,0
404,404-3,0
404,404-4,0
405,405-0,0
405,405-1,1
405,405-2,0
406,406-0,0
407,407-0,0
407,407-1,0
408,408-0,1
408,408-1,0
408,408-2,0
408,408-3,0
409,409-0,0
409,409-1,0
409,409-2,1
409,409-3,0
410,410-0,0
410,410-1,0
410,410-2,1
411,411-0,1
412,412-0,0
413,413-0,0
413,413-1,0
413,413-2,1
413,413-3,0
413,413-4,0
413,413-5,0
414,414-0,0
415,415-0,0
415,415-1,0
415,415-2,0
415,415-3,1
416,416-0,0
416,416-1,0
417,417-0,0
417,417-1,0
417,417-2,1
417,417-3,0
417,417-4,0
418,418-0,0
419,419-0,1
420,420-0,0
420,420-1,0
420,420-2,0
420,420-3,0
420,420-4,1
421,421-0,0
421,421-1,1
422,422-0,0
422,422-1,0
422,422-2,0
422,422-3,1
422,422-4,0
422,422-5,0
422,422-6,0
422,422-7,0
422,422-8,0
422,422-9,0
423,423-0,0
423,423-1,1
423,423-2,0
424,424-0,0
424,424-1,1
424,424-2,0
424,424-3,0
425,425-0,0
425,425-1,0
425,425-2,0
425,425-3,0
426,426-0,0
426,426-1,0
427,427-0,0
427,427-1,1
428,428-0,1
428,428-1,0
429,429-0,0
430,430-0,0
430,430-1,1
431,431-0,0
431,431-1,0
432,432-0,0
433,433-0,0
433,433-1,0
433,433-2,1
433,433-3,0
433,433-4,0
434,434-0,0
434,434-1,1
435,435-0,1
435,435-1,0
435,435-2,0
436,436-0,0
436,436-1,0
436,436-2,0
436,436-3,0
436,436-4,1
436,436-5,0
437,437-0,1
437,437-1,0
438,438-0,0
438,438-1,0
439,439-0,1
439,439-1,0
439,439-2,0
440,440-0,0
440,440-1,0
440,440-2,1
440,440-3,0
441,441-0,0
442,442-0,0
442,442-1,1
443,443-0,0
443,443-1,1
443,443-2,0
443,443-3,0
444,444-0,0
444,444-1,0
444,444-2,1
444,444-3,0
445,445-0,1
445,445-1,0
445,445-2,0
446,446-0,0
446,446-1,0
446,446-2,0
447,447-0,0
447,447-1,0
447,447-2,0
448,448-0,0
448,448-1,0
448,448-2,0
449,449-0,0
450,450-0,0
450,450-1,0
450,450-2,0
450,450-3,0
450,450-4,1
450,450-5,0
451,451-0,0
452,452-0,0
452,452-1,1
452,452-2,0
453,453-0,1
453,453-1,0
454,454-0,1
454,454-1,0
454,454-2,0
455,455-0,0
456,456-0,0
456,456-1,0
456,456-2,0
457,457-0,0
457,457-1,0
457,457-2,0
457,457-3,0
458,458-0,0
458,458-1,0
458,458-2,0
459,459-0,0
459,459-1,0
460,460-0,1
461,461-0,1
461,461-1,0
462,462-0,0
462,462-1,0
462,462-2,0
463,463-0,0
463,463-1,0
464,464-0,0
464,464-1,1
464,464-2,0
465,465-0,0
465,465-1,0
466,466-0,0
466,466-1,1
466,466-2,0
467,467-0,0
467,467-1,0
468,468-0,0
469,469-0,0
470,470-0,1
470,470-1,0
470,470-2,0
470,470-3,0
471,471-0,0
472,472-0,0
472,472-1,0
472,472-2,0
472,472-3,0
472,472-4,0
472,472-5,0
472,472-6,0
472,472-7,0
472,472-8,1
472,472-9,0
472,472-10,0
473,473-0,0
473,473-1,0
473,473-2,0
473,473-3,0
473,473-4,1
473,473-5,0
473,473-6,0
474,474-0,0
474,474-1,1
475,475-0,0
475,475-1,0
475,475-2,0
475,475-3,0
475,475-4,0
475,475-5,1
475,475-6,0
475,475-7,0
475,475-8,0
475,475-9,0
476,476-0,0
476,476-1,0
477,477-0,0
477,477-1,0
477,477-2,0
477,477-3,0
477,477-4,0
477,477-5,0
477,477-6,0
477,477-7,0
477,477-8,0
477,477-9,0
477,477-10,0
477,477-11,0
478,478-0,0
478,478-1,0
478,478-2,0
478,478-3,0
478,478-4,0
478,478-5,0
478,478-6,0
478,478-7,0
478,478-8,0
479,479-0,0
479,479-1,0
480,480-0,1
480,480-1,0
480,480-2,0
481,481-0,0
481,481-1,0
481,481-2,0
481,481-3,0
481,481-4,0
481,481-5,0
481,481-6,0
481,481-7,0
481,481-8,0
481,481-9,0
481,481-10,0
482,482-0,0
482,482-1,0
482,482-2,1
482,482-3,0
483,483-0,0
484,484-0,0
485,485-0,0
485,485-1,0
486,486-0,0
486,486-1,1
487,487-0,0
487,487-1,0
487,487-2,1
487,487-3,0
487,487-4,0
488,488-0,0
489,489-0,0
489,489-1,0
489,489-2,0
489,489-3,0
489,489-4,1
489,489-5,0
489,489-6,0
489,489-7,0
489,489-8,0
489,489-9,0
489,489-10,0
489,489-11,0
489,489-12,0
489,489-13,0
490,490-0,1
490,490-1,0
491,491-0,0
492,492-0,0
492,492-1,1
492,492-2,0
492,492-3,0
493,493-0,0
494,494-0,0
494,494-1,0
494,494-2,0
494,494-3,0
494,494-4,0
494,494-5,0
494,494-6,0
494,494-7,1
495,495-0,0
495,495-1,0
496,496-0,0
496,496-1,0
496,496-2,0
496,496-3,0
